"","mu_t","mu_add","ratio_2","sd_p1","sd_p2","sd_t1","sd_t2","bias_m1","bias_m2_e1","bias_m2_e2","bias_m2_e3","bias_m2_e4","bias_lm","bias_wlm_true","bias_wlm","power_m1","power_m2_e1","power_m2_e2","power_m2_e3","power_m2_e4","power_lm","power_wlm_true","power_wlm","time_m2_e2","time_wlm","MSE_m1","MSE_m2_e1","MSE_m2_e2","MSE_m2_e3","MSE_m2_e4","MSE_lm","MSE_wlm_true","MSE_wlm"
"1",0,0.3,0.5,1,1,4,4,-0.0380294332009761,-0.00733571347597169,-0.00735539481663629,-0.00935638281095576,-0.00870455399321895,-0.00870455399321881,-0.00733571347597152,-0.00735548791237505,0.039237,0.0485289999999987,0.0503699999999998,0.0479160000000003,0.0481119999999977,0.0693619999999957,0.0477930000000009,0.0507100000000006,6.37251095771772e-05,0.000956748637199447,0.094793571878844,0.093815011925939,0.0947818591543151,0.0970785650857613,0.0953112088553247,0.0953112088553234,0.0938150119259383,0.0947601477204218
"2",0,0.3,0.5,1,2,2,3,-0.0382562684891927,-0.0041334833212548,-0.00419006122191108,-0.0096015969323632,-0.00895968794323307,-0.00895968794323293,-0.00413348332125473,-0.00421125863171135,0.033594999999998,0.0484439999999987,0.0492460000000015,0.0466650000000001,0.0466829999999987,0.0577129999999971,0.0478210000000009,0.0489180000000005,6.45887496471446e-05,0.000971765426158912,0.0434458165783755,0.0340374943589508,0.0342287865962786,0.0474695625548751,0.0445062094506839,0.0445062094506833,0.034037494358951,0.0342271425451127
"3",0,0.3,0.5,1,1,4,4,-0.0266253357315631,-0.0058605340684643,-0.00593217267253373,-0.00735000966553543,-0.00686953366648025,-0.00686953366648015,-0.00586053406846419,-0.00593181889382176,0.0424039999999981,0.0488529999999969,0.050588999999998,0.0484499999999977,0.0486190000000029,0.0702519999999969,0.0479370000000022,0.0509780000000077,6.43677887916582e-05,0.000971649245977428,0.0938242517742223,0.0936011736377113,0.0945781534623477,0.096779498660098,0.0950377490046665,0.0950377490046655,0.0936011736377106,0.0945571895670537
"4",0,0.3,0.5,1,2,2,3,-0.0261826147346102,-0.00290136362277466,-0.0029294215624336,-0.0068471619501914,-0.00638395953784249,-0.00638395953784238,-0.00290136362277459,-0.00294470326100749,0.0385840000000039,0.0492750000000014,0.0501579999999977,0.0480020000000025,0.0480470000000026,0.0592380000000035,0.0486090000000008,0.0498380000000023,6.37938809394852e-05,0.000964110052347173,0.0426955537685754,0.0341003646423433,0.0342834556199222,0.0474410241879364,0.0444890896168491,0.0444890896168486,0.0341003646423436,0.0342817378146561
"5",0.8,0.3,0.5,1,1,4,4,-0.0386928161707909,-0.00803346153515806,-0.00812753078699134,-0.0100157848410098,-0.00937632571008985,-0.00937632571009433,-0.00803346153516113,-0.00812635366743211,0.801791,0.827049999999996,0.828035,0.813425999999998,0.820531000000001,0.865523,0.826239000000001,0.828959000000002,6.38511462211645e-05,0.00095437729859356,0.0946783033342215,0.0936900425853178,0.0946927527438141,0.0970083647998172,0.0952236800496045,0.0952236800496034,0.0936900425853172,0.0946700493713941
"6",0.5,0.3,0.5,1,2,2,3,-0.0382097782237722,-0.00422627209556291,-0.00427846608274444,-0.0095248798825656,-0.00890286940322182,-0.00890286940322456,-0.00422627209556076,-0.00429877424781061,0.729402000000004,0.850916999999999,0.851273,0.729212000000002,0.753986000000001,0.786532999999995,0.850271,0.850606,6.39379050731692e-05,0.000959050827026348,0.0434113677082855,0.0340338358796217,0.0342222271552477,0.0474214778514543,0.0444647294680744,0.044464729468074,0.034033835879622,0.034220552201106
"7",0.8,0.3,0.5,1,1,4,4,-0.0267204709039819,-0.00595554737481532,-0.00599440025433268,-0.00743484526909281,-0.00695765239997101,-0.00695765239997552,-0.00595554737481843,-0.00599318504722186,0.813066000000003,0.829474999999998,0.830407,0.816655000000001,0.823220000000001,0.867809000000004,0.828153000000009,0.831336000000003,6.56034955978436e-05,0.000990538825511844,0.093706017384284,0.0934982410825361,0.094487403804192,0.0967423820529633,0.0949829887016491,0.0949829887016482,0.0934982410825354,0.0944646294219588
"8",0.5,0.3,0.5,1,2,2,3,-0.0265527635435672,-0.00323833087481544,-0.00330224307718983,-0.00724253206740371,-0.00677247366653466,-0.00677247366653745,-0.00323833087481333,-0.00331738990676683,0.747647000000006,0.852328,0.852634000000001,0.732458999999998,0.756793,0.789387000000003,0.851390999999998,0.851902000000001,6.84153077602473e-05,0.00103600616335863,0.0426714450432001,0.034052567391332,0.0342390346694739,0.0474074046627732,0.0444559354471624,0.0444559354471619,0.0340525673913323,0.0342374522647484
