"","mu_p1","mu_p2","mu_p3","mu_p4","sd_p","sd_t","mu_diff","bias_m1","bias_m2_e1","bias_m2_e2","bias_m2_e3","bias_WLS","power_m1","power_m2_e1","power_m2_e2","power_m2_e3","power_WLS","MSE_m1","MSE_m2_e1","MSE_m2_e2","MSE_m2_e3","MSE_WLS"
"1",11.08,10.3,10.45,11.6,2,1.4,0,0.0477265951709761,-1.65053216900232e-05,-2.37370621550511e-05,-5.50284498618591e-05,-1.65053216642398e-05,0.0793129999999982,0.0501550000000004,0.0518560000000013,0.0501019999999995,0.0498979999999995,0.0335864322630183,0.0269155959690202,0.027167059886747,0.0314158495435505,0.0269155959690203
"2",11.08,12.3,12.45,11.6,2,1.4,0,-0.0492507203520575,1.28929590948005e-06,-1.32338628759191e-05,-0.000152108913786052,1.28929593230858e-06,0.0254679999999998,0.0503859999999979,0.0519650000000006,0.0502250000000006,0.0500070000000012,0.0337780825435042,0.026902740820683,0.0271547852343175,0.0314589881675813,0.0269027408206831
"3",11.6,12.45,10.3,11.08,2,1.4,0,-0.0168983322832815,-0.000158966828088932,-0.000153693086667572,-0.000168416851481854,-0.000158966828061719,0.0326190000000018,0.0503529999999993,0.0518219999999992,0.0500659999999994,0.0500429999999994,0.0316566804359687,0.0269284777355992,0.0271835576894021,0.0314774860605106,0.0269284777355993
"4",11.08,10.3,10.45,11.6,2,1.4,0.45,0.047871997711343,0.00020928756363586,0.000201472599394742,0.000104603537929727,0.000209287563662497,0.871088000000007,0.863681000000001,0.864296000000001,0.813941,0.863361000000001,0.033674836574327,0.026937079716593,0.0271895227886154,0.0314879044047688,0.026937079716593
"5",11.08,12.3,12.45,11.6,2,1.4,0.45,-0.0493622950633665,-0.000169329282783068,-0.000183939354763778,-0.000270508998076063,-0.000169329282759364,0.719819000000015,0.863661999999996,0.864146999999998,0.813581000000001,0.863327000000002,0.0337537906065485,0.0268819835084962,0.0271363716142337,0.0314232229109919,0.0268819835084963
"6",11.6,12.45,10.3,11.08,2,1.4,0.45,-0.0171132636703908,-0.0003319778186272,-0.000310450980519606,-0.000372668649179207,-0.00033197781859911,0.760141999999999,0.862690000000007,0.863477000000004,0.812761999999998,0.862450000000003,0.031737823704177,0.0269786168753555,0.0272308627155351,0.0315542150226411,0.0269786168753556
